Code;Description;OrgCode
4572;Data Mismatch Between CBIC and CBDT;CBOEC
4573;www.cbic.gov.in Portal related Issues;CBOEC
4574;Error pertaining to addition of New Authorised Signatory;CBOEC
4575;Pendency of Application for  cancellation of Registration (REG - 16);CBOEC
4576; Pendency of Application for Amendment in Registration;CBOEC
4577;Pendency of Application for Revocation of Cancelled Registration (REG - 21);CBOEC
4578;Bank Account Invalid;CBOEC
4579; Payment not Credited to Bank Account;CBOEC
4580;Amount (ITC) Not Re -Credited ;CBOEC
4581;Non-Receipt of Acknowledgement for submission of Appeal in Form APL-02 even after generation of the same in the system.;CBOEC
4582;Non-Receipt of PH (Personal Hearing) notice issued by Appellate Authority or Summary of the demand after issue of order by the Appellate Authority in Form APL-04/Appeal Order even after generation of the same in the system.;CBOEC
4583;Non-Receipt of  Notice u/s 108 of CGST Act in Form RVN-01 even after generation of the same in the system.;CBOEC
4584;Non-Receipt of PH (Personal Hearing) notice by Revisional Authority or Summary of the demand after issue of order by the Revisional Authority in form APL-04/Revision Order even after generation of the same in the system.;CBOEC
4585;Non-Receipt of PH (Personal Hearing) notice even after generation of the same in the system.;CBOEC
4586;Non-Receipt of Order for permitting / rejecting application for unblocking of the facility for generation of EWay Bill (EWB-06) even after generation of the same in the system.;CBOEC
4587;Non-Receipt of Order for Acceptance/ Rejection of application for deferred payment/ payment in installments (DRC-21) even after generation of the same in the system.;CBOEC
4588;Unable to view documents attached to notice/ order etc even after generation of the same in the system.;CBOEC
4589;Stepping up of pay;CBOEC
4590;Waiver of Recovery of excess payment;CBOEC
4591;Grant of NFU on completion of 4 years of service and clarification thereon;CBOEC
4592;Grant of Acp/MACP and clarification thereon;CBOEC
4593;Pay protection/Pay fixation under FR-22(1)a(1) or FR-22(1)a(2);CBOEC
4594;Notional increment those who retired in the month of june of a particular year;CBOEC
4595;Pay anomalies arising out of implementation of 7th CPC;CBOEC
4596;Sprots increment and advance increment;CBOEC
4597;Group A  Gazetted Officers;CBOEC
4598;Group B Gazetted Officers;CBOEC
4599;Seniority         ;CBOEC
4600;Promotion/DPC;CBOEC
4601;Proforma Promotion;CBOEC
4602;Review DPC;CBOEC
4603;Antedating of promotion;CBOEC
4604;Regularisation of promotion;CBOEC
4605;NFSG;CBOEC
4606;NFU;CBOEC
4607;Transfer/Posting;CBOEC
4608;Deputation;CBOEC
4609;Opening of sealed cover;CBOEC
4610;Pay fixation;CBOEC
4611;Seniority in r/o Administrative Officer, Superintendent(Preventive), Customs Appraisers and Superintendent (Central Excise). ;CBOEC
4612;Promotion for the cadre of CRCL and Official Language;CBOEC
4613;Reservation in r/o Administrative Officer, Superintendent (Preventive), Customs and Appraisers;CBOEC
4614;Adding beneficiary in PPO;CBOEC
4615;Discrepancies in calculation of Pension;CBOEC
4616;Miscalculation in Pension;CBOEC
4617;Modification in PPO;CBOEC
4618;Non-payment of retirement dues;CBOEC
4619;Pension not started / Pension stopped;CBOEC
4620;Revision of Pension;CBOEC
4621;Others;CBOEC
4622;Department of Revenue;DORVU
4623;Pension Related;DORVU
4624;Employee Related / Services Related;DORVU
4625;Corruption/Malpractices related;DORVU
4626;Technical Issues with Return Filing;DORVU
4627;Opium Poppy Cultivation;DORVU
4628;State Taxes related matters;DORVU
4629;Pension not started / Pension stopped;DORVU
4630;Revision of Pension;DORVU
4631;Miscalculation in Pension;DORVU
4632;Adding beneficiary in PPO;DORVU
4633;Others;DORVU
4634;Revenue HQ ;DORVU
4635;Enforcement Directorate ;DORVU
4636;Narcotics Control Bureau;DORVU
4637;Other offices ;DORVU
4638;Revenue HQ ;DORVU
4639;Enforcement Directorate ;DORVU
4640;Narcotics Control Bureau;DORVU
4641;Other offices ;DORVU
4642;Revenue HQ ;DORVU
4643;Enforcement Directorate ;DORVU
4644;Narcotics Control Bureau;DORVU
4645;Other offices ;DORVU
4646;Revenue HQ ;DORVU
4647;Enforcement Directorate ;DORVU
4648;Narcotics Control Bureau;DORVU
4649;Other offices ;DORVU
4650;Revenue HQ ;DORVU
4651;Enforcement Directorate ;DORVU
4652;Narcotics Control Bureau;DORVU
4653;Other offices ;DORVU
4654;Compassionatory ground appointment;DORVU
4655;Pending any type of Bill/dues for payment;DORVU
4656;Issues related to Promotion;DORVU
4657; Transfer/Posting;DORVU
4658;Pending Disciplinary/Vigilance matters;DORVU
4659;Sexual harassment;DORVU
4660;Misbehaviour/Harassment by any officer/staff;DORVU
4661;Establishment related;DORVU
4662;Cadre Matters;DORVU
4663;Pay & Allowances;DORVU
4664;Others;DORVU
4665;Revenue HQ ;DORVU
4666;Enforcement Directorate ;DORVU
4667;Narcotics Control Bureau;DORVU
4668;Other offices ;DORVU
4669;Revenue HQ ;DORVU
4670;Enforcement Directorate ;DORVU
4671;Narcotics Control Bureau;DORVU
4672;Other offices ;DORVU
4673;Revenue HQ ;DORVU
4674;Enforcement Directorate ;DORVU
4675;Narcotics Control Bureau;DORVU
4676;Other offices ;DORVU
4677;Revenue HQ ;DORVU
4678;Enforcement Directorate ;DORVU
4679;Narcotics Control Bureau;DORVU
4680;Other offices ;DORVU
4681;Revenue HQ ;DORVU
4682;Enforcement Directorate ;DORVU
4683;Narcotics Control Bureau;DORVU
4684;Other offices ;DORVU
4685;Revenue HQ ;DORVU
4686;Enforcement Directorate ;DORVU
4687;Narcotics Control Bureau;DORVU
4688;Other offices ;DORVU
4689;Revenue HQ ;DORVU
4690;Enforcement Directorate ;DORVU
4691;Narcotics Control Bureau;DORVU
4692;Other offices ;DORVU
4693;Revenue HQ ;DORVU
4694;Enforcement Directorate ;DORVU
4695;Narcotics Control Bureau;DORVU
4696;Other offices ;DORVU
4697;Revenue HQ ;DORVU
4698;Enforcement Directorate ;DORVU
4699;Narcotics Control Bureau;DORVU
4700;Other offices ;DORVU
4701;Revenue HQ ;DORVU
4702;Enforcement Directorate ;DORVU
4703;Narcotics Control Bureau;DORVU
4704;Other offices ;DORVU
4705;Revenue HQ ;DORVU
4706;Enforcement Directorate ;DORVU
4707;Narcotics Control Bureau;DORVU
4708;Other offices ;DORVU
4709;Revenue HQ ;DORVU
4710;Enforcement Directorate ;DORVU
4711;Narcotics Control Bureau;DORVU
4712;Other offices ;DORVU
4713;Hawala Transactions;DORVU
4714;Money Laundering;DORVU
4715;FEMA/FERA;DORVU
4716;PMLA;DORVU
4717;Not able to file Return;DORVU
4718;Discrepancy in GST No.;DORVU
4719;Not able to get GST No.;DORVU
4720;Others;DORVU
4721;CENTRAL BUREAU OF NARCOTICS;DORVU
4722;CHIEF CONTROLLER OF FACTORIES;DORVU
4723;Matter related with issue of opium License;DORVU
4724;Grievance/Complaint/Investigation related issues;DORVU
4725;Allocation of quota of Narcotics Drugs.;DORVU
4726;Other matter related to CBN;DORVU
4727;Matter related with final testing and classification of opium.;DORVU
4728;Matter related with penalty imposed by G.M./CCF;DORVU
4729;Issue and Handover of allocated Narcotics Drugs.;DORVU
4730;Other matter to CCF ;DORVU
4731;Stamp Duty;DORVU
4732;GST Compensation;DORVU
4733;VAT;DORVU
4734;State Taxes;DORVU
4735;Others;DORVU
4742;Home Affairs;MINHA
4743;Employee Related/Services Related (Main Secretariat and SSO);MINHA
4744;Award Related/Other National issues;MINHA
4745;Border related matters;MINHA
4746;Center State constitutional matters;MINHA
4747;Legislative Matters;MINHA
4748;National Disaster related mattters;MINHA
4749;Freedom Fighter pension related matter;MINHA
4750;Visa related matters and passport issue and verification;MINHA
4751;Citizenship matters;MINHA
4752;Foreign Contribution (FCRA) related matters;MINHA
4753;Internal security related matters (Including State police, excluding J&K and NE);MINHA
4754;Complaint for security agencies;MINHA
4755;Arm possession and license related matters;MINHA
4756;VIP security matters;MINHA
4757;Jammu Kashmir and Ladakh matters;MINHA
4758;North Eastern matters;MINHA
4759;IPS related matters;MINHA
4760;Union Territory matters;MINHA
4761;AGMUT Cadre personnel matters;MINHA
4762;Crime related (Records, prisons and cyber cell);MINHA
4763;Relief and Rehabilitation matter for Refugee, Repatriates;MINHA
4764;Enemy Property related matters;MINHA
4765;Matter Related to Unethical practices;MINHA
4766;Information Security;MINHA
4767;Registrar General & Census Commissioner of India;MINHA
4768;Security Forces Admin matters;MINHA
4976;Rural Development;DORLD
4977;Administration Related;DORLD
4978;Employee Related / Service Related;DORLD
4979;Advances & Allowances Related;DORLD
4980;Compassionate Appointment Related;DORLD
4981;Pension Related;DORLD
4982;Others/Misc.;DORLD
4983;Appointment Related;DORLD
4984;Transfer / Posting;DORLD
4985;Issues related to promotion;DORLD
4986;Pay Fixation;DORLD
4987;Pending Payment of any type of bills / dues;DORLD
4988;Sexual Harassment;DORLD
4989;Misbehaviour/ Harassment by any Officer / Official;DORLD
4990;Others;DORLD
4991;Advances/ Allowances not released;DORLD
4992;Miscalculation of Advance/allowance;DORLD
4993;Others;DORLD
4994;Non-consideration of Candidature;DORLD
4995;Others;DORLD
4996;Pension not started / Pension stopped;DORLD
4997;Revision of Pension;DORLD
4998;Miscalculation of Pension;DORLD
4999;Family Pension related issue;DORLD
5000;Others;DORLD
5001;Information, Education and Communication Division;DORLD
5002;Information;DORLD
5003;Suggestion;DORLD
5004;Complaints;DORLD
5005;Others;DORLD
5006;Information about schemes (IEC);DORLD
5007;Information about expenditure incurred on Advertisement;DORLD
5008;Suggestions on Advertisement / media of schemes of  ministry;DORLD
5009;Complaints on payment issues;DORLD
5010;Grievance regarding non selection of agency;DORLD
5011;Allegation of corruption / bribery;DORLD
5012;Bill Related;DORLD
5013;Pending Bill;DORLD
5014;Short Payment of Bill;DORLD
5015;Other;DORLD
5016;BPL Division;DORLD
5017;Request;DORLD
5018;Others;DORLD
5019;Exclusion / Inclusion/Deprivation Criteria in BPL / SECC list at any level.Request for Addition in SECC List ;DORLD
5020;Old BPL List;DORLD
5021;DISHA Division;DORLD
5022;Nomination of Non-Official Members in DISHA Committees;DORLD
5023;Others;DORLD
5024;Action on decision taken in DISHA meeting on rnatter related to State;DORLD
5025;Action on decision taken in DISHA meetings on matter pertaining to Ministries of Govt. of lndia;DORLD
5026;Others;DORLD
5027;International Cooperation;DORLD
5028;MoU Related;DORLD
5029;Fund Related;DORLD
5030;Other;DORLD
5031;Release of Fund;DORLD
5032;Pendind Fund;DORLD
5033;Pradhan Mantri Awaas Yojana - Gramin (Rural);DORLD
5034;Request/Representation (for new house);DORLD
5035;PMAY - G related Complaints;DORLD
5036;Suggestions;DORLD
5037;Requests/ representations for new house, name already included in PWL (State Govt.);DORLD
5038;Requests/ representations for new house, name not included in PWL (State Govt.);DORLD
5039;Requests/ representations for new house, status of inclusion in PWL unknown (State Govt.);DORLD
5040;Negligence of request for new house by official / GPs (State Govt./ Block);DORLD
5041;Survey not conducted/ Village not mapped on AwaasSoft (State Govt.);DORLD
5042;Others (State Govt./ Block);DORLD
5043;Allotment of house to ineligible beneficiaries through bribe seeking (State Govt./Block);DORLD
5044;Bribe seeking for allotment of house to eligible beneficiaries (State Govt./ Block);DORLD
5045;Bribe seeking for sanction of assistance/installment to eligible beneficiaries (State Govt./ Block);DORLD
5046;Issue of wrong / fake investigation report regarding eligibility of beneficiaries by officials/ GPs (State Govt./ Block);DORLD
5047;Irregularities/ misappropriation of PMAY-G funds (State Govt./ Block);DORLD
5048;Delay in sanction of installments/ geo - tagging of stages of construction of house (State Govt./ Block);DORLD
5049;Others (State Govt./ Block);DORLD
5050;Use of construction materials / technology (State Govt.);DORLD
5051;Raising of assistance amount (Govt. of lndia);DORLD
5052;Others (State Govt./ Govt. oflndia);DORLD
5053;Others;DORLD
5054;Seeking informalion about eligibility under PMAY-G (Govt. of India);DORLD
5055;Request for allotmenl of house under state housing schemes (State Govt);DORLD
5056;Seeking Status/ATR regarding previous house request / complaint (State Govt.);DORLD
5057;Grievance not specific - PMAY-G or PMAY-Urban (Complainant to give clarification);DORLD
5058;Housing loan subsidy in rural areas (Rural Housing-lnterest Subsidy;DORLD
5059;Others;DORLD
5060;Non-implementation of RHlSS in rural areas (National Housing Bank);DORLD
5061;Banks not aware of the RHIISS (National Housing Bank / respective banks);DORLD
5062;No interest subsidy provided for housing Ioan in rural areas (National Housing Bank);DORLD
5063;Interest subsidy not provided for house purchase in rural areas (National Housing Bank);DORLD
5064;Grievance not speciflc - RHIISS or PMAY-Urban (Complainant to give clarification);DORLD
5065;Beneficiary applying for loan subsidy under PMAY-Urban but was rejectcd as the area in which the house is located falls under rural areas (M/o Housing and Urban Affairs / National Housing Bank);DORLD
5066;Bifurcation of urban and rural areas (M/o. Housing and Urban Affairs);DORLD
5067;Others (National Housing Bank);DORLD
5068;Pradhan Mantri Gram Sadak Yojana;DORLD
5069;Complaints about PMGSY roads;DORLD
5070;Slow progress of PMGSY roads works / incomplete / abandoned;DORLD
5071;Abandoned PMGSY roads;DORLD
5072;Poor quality of PMGSY roads;DORLD
5073;Request for construction of road under PMGSY;DORLD
5074;Bid processing/Award/Tendering;DORLD
5075;Complaints regarding maintenance of roads.;DORLD
5076;Matters Relating to Road Connectivity Project for Left Wing Extremism Affected Areas;DORLD
5077;Corruption related complaints;DORLD
5078;Delay in payment;DORLD
5079;Administrative related complaints;DORLD
5080;Others;DORLD
5081;Malpractices / Corruption;DORLD
5082;Financial irregularities in tendering process;DORLD
5091;Delay in contractor payment;DORLD
5092;Issues related to promotion;DORLD
5093;Transfer/ Posting;DORLD
5094;Pending Disciplinary/Vigilance matters;DORLD
5095;Misbehavior/ Harassment by any officer/ staff.;DORLD
5096;Sexual harassment;DORLD
5098;Complaints regarding Financial release from the Ministry;DORLD
5099;MGNREGA Related;DORLD
5100;Allegations of corruption and malpractices;DORLD
5101;Financial;DORLD
5102;Job Card;DORLD
5103;Suggestion;DORLD
5104;Payment /  Wage;DORLD
5105;Works in NREGA;DORLD
5106;NREGA employee;DORLD
5107;Issue related to women worker of MGNREGA;DORLD
5108;Not proper implementation of central Govt. scheme;DORLD
5109;Others;DORLD
5110;No proper implementation of MGNREGA Schemes;DORLD
5111;Misuse and improper selection of beneficiaries;DORLD
5112;Delay in payment;DORLD
5113;Fake payment in muster rolls;DORLD
5114;Honorarium not provided under MGNREGA;DORLD
5115;Not receiving of reimbursement of expenses;DORLD
5116;Administratve expense in MGNREGA Scheme;DORLD
5117;Fiancial irregularities in implementation of MGNREGA scheme;DORLD
5118;Fake job cards;DORLD
5119;Fake attendance without doing any work;DORLD
5120;Fake muster rolls;DORLD
5121;Non issuance of job card under MGNREGA ;DORLD
5122;Suggestion related implemention of MGNREGS;DORLD
5123;Non payment of wage;DORLD
5124;Delayed payment;DORLD
5125;Delayed compensation;DORLD
5126;Under payment;DORLD
5127;Non completion of work;DORLD
5128;Works under MGNREGA;DORLD
5129;NREGA project in  digging;DORLD
5130;Discrepancies in selection list of Technical Post;DORLD
5131;Appointment of Computer operator in unfilled post;DORLD
5132;Filling up the posts under MGNREGA;DORLD
5133;Increase in salary;DORLD
5134;No provision of age relaxation for SC/ST/OBC candidate;DORLD
5135;No provision to regularization of NREGA staff;DORLD
5136;Salary not provided to the Gram Rojagar Sewak;DORLD
5137;Salary structure under MGNREGA;DORLD
5138;Any issue related to women worker of MGNREGA;DORLD
5139;Maintaining of data base;DORLD
5140;Inflation and draught;DORLD
5141;Lack of awareness and not providing work;DORLD
5142;Use of machinery instead of labour;DORLD
5143;Awareness of camp;DORLD
5144;To investigate the matter of Sendhwa Kand in MGNREGA;DORLD
5145;Others;DORLD
5146;Training & PC Division Related;DORLD
5147;Employ Related / Service Related;DORLD
5148;NGOs / VOs / Private / firms etc. related;DORLD
5149;Matters related to NIRD;DORLD
5150;Issues of grants to NIRD;DORLD
5151;Matters related to SIRD (State Institute of Rural Development) ;DORLD
5152;Matters related to  ETC (Extension Training Centre);DORLD
5153;Grant related to SIRD (State Institute of Rural Development) / ETC (Extension Training Centre);DORLD
5154;Others;DORLD
5155; Allegation discrirnination against SC/ST Officers / Officials;DORLD
5156;Allegation of Corruption / Bribery charges;DORLD
5157; Pay fixation/ pay up-gradation related;DORLD
5158;Appointment on compassionate grounds;DORLD
5159; lssues related to promotion / Transfer Posting;DORLD
5160; Disciplinary cases / Vigilance matters;DORLD
5161; Complaints of Sexual harassment;DORLD
5162; Retiremenr dues;DORLD
5163;Allegation of harassment;DORLD
5164;Pending bills/payment;DORLD
5165;Service related matters of NIRD;DORLD
5166;Irregularities in NIRD;DORLD
5167;General matters of NIRD;DORLD
5168;Pension related matter of NIRD;DORLD
5169;Issues of grants to NIRD;DORLD
5170;Matters related to staff of SIRD;DORLD
5171;Matters related to staff of ETC;DORLD
5172;Release of grant to SIRD / ETC;DORLD
5173;District Rural Development Agency;DORLD
5174;Employ Related / Service Related Complaints by employees of DRDA / Zila Parishad;DORLD
5175;Complaints against Employees of DRDA / Zila Parishad;DORLD
5176;Others;DORLD
5177;Policy issues related to service matters;DORLD
5178;Pending retirement dues;DORLD
5179;Pending salaries / wages;DORLD
5180;Harassment related;DORLD
5181;Allegation of corruption / bribery;DORLD
5182;Irregularities in recruitment in DRDA;DORLD
5183;Allegation of corruption / bribery;DORLD
5184;Harassment Related;DORLD
5185;Request for information / development works under DRDA;DORLD
5186;Others;DORLD
5187;National Social Assistance Programme;DORLD
5188;Pension Related Matter;DORLD
5189;Inclusion in BPL list;DORLD
5190;Misc suggestions regarding social assistance programme;DORLD
5191;Issue of Disability Certificate;DORLD
5192;Others;DORLD
5193;Sanction of pension;DORLD
5194;Restoration of pension;DORLD
5196;Irregular payment of pension;DORLD
5197;Mis-match in Pension payment;DORLD
5199;Request for inclusion in BPL List / SECC List;DORLD
5200;lrregularities in BPL List / SECC List;DORLD
5201;Other complaint regarding the BPL List /SECC List;DORLD
5202;Enhancement of Pension;DORLD
5203;Change in the elegibilty criteria;DORLD
5204;Relaxation in age /disability level for sanction of pensions;DORLD
5205;SAANSAD ADARSH GRAM YOJANA (SAGY);DORLD
5206;Employ Related / Service Related;DORLD
5207;Others;DORLD
5208; Allegations regarding corrupt practices;DORLD
5209;Unsatisfactory quality of work;DORLD
5210;Others;DORLD
5211;RURBAN;DORLD
5212;Employ Related / Service Related;DORLD
5213;Allegations regarding corrupt practices;DORLD
5214;NRLM;DORLD
5215;Salary & HR issues of NRLPS;DORLD
5216;Salary & HR issues of SRLM;DORLD
5217;Training & capacity building of rural SHG;DORLD
5218;Funds / Release;DORLD
5219;Marketing;DORLD
5220;Interest Subvention;DORLD
5221;Other;DORLD
5222;Salary of NRLPS staff;DORLD
5223;Training allowance;DORLD
5224;Other Issues;DORLD
5225;Appointment Related;DORLD
5226;Salary related;DORLD
5227;Other Issues;DORLD
5228;SHG Women;DORLD
5229;Bank Shakhi;DORLD
5230;Krishi Shakhi;DORLD
5231;Pashu Shakhi;DORLD
5232;SHG Foundation;DORLD
5233;Revolving Fund;DORLD
5234;Community Fund;DORLD
5235;VRF;DORLD
5236;Maketing Support (Fair/Stall);DORLD
5237;Interest Subsidy;DORLD
5238;Loan related;DORLD
5239;Misc. matters of rural women SHG;DORLD
5240;SKILLS Division;DORLD
5241;Deen Dayal Upadhayay Grameen Kaushal Yojana (DDU-GKY);DORLD
5242;Deen Dayal Upadhayay Grameen Kaushal Yojana (DDU-GKY) - Corruption Related;DORLD
5243;Rural Self Employment Training Institute (RSETI);DORLD
5244;Others/Misc.;DORLD
5245;Post Placement Support;DORLD
5246;Training/Admission related complaint;DORLD
5247;Job/placement related complaint;DORLD
5248;Salary of faculty of Training Institute;DORLD
5249;Information/queries related to scheme;DORLD
5250;PRN Generation;DORLD
5251;Malpractice/Corruption;DORLD
5252;HR Policy;DORLD
5253;Malpractice/Corruption;DORLD
5254;Faculty salary/appointment related issues;DORLD
5255;Information/queries related to scheme;DORLD
5256;Department of Justice;DEPOJ
5257;Special Courts Related;DEPOJ
5258;Family Courts;DEPOJ
5259;National Judicial Academy related;DEPOJ
5260;e-Court;DEPOJ
5261;Judicial Infrastructure;DEPOJ
5262;Judicial Reforms;DEPOJ
5263;Administration of Supreme Court/High Court Judges;DEPOJ
5264;Access to Justice;DEPOJ
5265;Service Conditions of Supreme Court & High Court Judges;DEPOJ
5266;Legal Aid to Poor (NALSA);DEPOJ
5267;Covid 19 related;DEPOJ
5268;Suggestions;DEPOJ
5269;Complaint against Judicial Officers;DEPOJ
5270;Others;DEPOJ
5271;Status of Fast Track Special Courts Scheme and details of functional courts and cases disposed off;DEPOJ
5272;Financial Assistance to State Governments to establish FTSC (including e-POCSO Court);DEPOJ
5273;Details of Courts functional and cases disposed off;DEPOJ
5274;Appointment of Director and Registrar of the Academy;DEPOJ
5275;Release of funds to NJA and receipt of utilization certificate;DEPOJ
5276;Status of court case on e-Court Portal (NJDG);DEPOJ
5277;e-filing;DEPOJ
5278;Video conferencing in court hearing.;DEPOJ
5279;Fund Release to State/UTs for development of Judicial Infrastructure in District and Subordinate Courts;DEPOJ
5280;Fund Release under the Gram Nyayalay Scheme;DEPOJ
5281;Pendency in Case Disposal ;DEPOJ
5282;Status of vacancies in Subordinate Judiciary;DEPOJ
5283;Complaint/Representation against sitting Supreme Court Judges;DEPOJ
5284;Complaint/Representation against sitting High Court Judges;DEPOJ
5285;Suggestion/Representation regarding appointment process of Judges of Supreme Court/High Court Judges;DEPOJ
5286;Establishment of Supreme Court Benches;DEPOJ
5287;Establishment of High Court Benches;DEPOJ
5288;Nyaya Bandhu (Pro-bono);DEPOJ
5289;Tele Law;DEPOJ
5290;Pension to High Court and Supreme Court Judges;DEPOJ
5291;Free legal aid;DEPOJ
5292;Lok Adalat;DEPOJ
5293;Ministry of Corporate Affairs;DCOYA
5294;Company Incorporation- CRC;DCOYA
5295;Investors Greivance;DCOYA
5296;Company Law;DCOYA
5297;Insolvency;DCOYA
5298;Professional Institutes;DCOYA
5299;Corporate Social Responsibility;DCOYA
5300;Competition Commission of India;DCOYA
5301;Matters related to National Financial Reporting Authority- NFRA;DCOYA
5302;Investors Education & Protection Fund;DCOYA
5303;Serious Fraud Investigation Organisation;DCOYA
5304;IICA;DCOYA
5305;Matters related to national company law tribunal- NCLT/NCLAT;DCOYA
5306;Employee Related;DCOYA
5307;Technical Matters- MCA-21 (eGovernance);DCOYA
5308;DIN - RD Office;DCOYA
5309;Matters related to official language- Hindi;DCOYA
5310;Competition Law ;DCOYA
5311;Others;DCOYA
5312;incorporation of companies and name availability;DCOYA
5313;Others;DCOYA
5314;Non payment of matured deposit and interest thereon;DCOYA
5315;Non receipt of Dividend amount;DCOYA
5316;Non receipt of Annual Report;DCOYA
5317;Non-Refund of application money;DCOYA
5318;Non receipt of duplicate shares;DCOYA
5319;Non registration of transfer of shares;DCOYA
5320;Non receipt of debentures/bonds certificates;DCOYA
5321;Non issuance of share certificate;DCOYA
5322;Non issuance of bonus shares;DCOYA
5323;Non issuance of interest on late payment;DCOYA
5324;Non redemption of debentures and interest thereon;DCOYA
5325;Non receipt of share certificates on conversion;DCOYA
5326;Condonation of delay for charges;DCOYA
5327;Din related issue;DCOYA
5328;Repaymnent of deposit of  companies under liquidation;DCOYA
5329;Repaymnent of deposit of  Liquidated Companies ;DCOYA
5330;Others;DCOYA
5331;Clarification on  Companies Act, 2013;DCOYA
5332;Inspection/Investigation/Inquiry of Companies;DCOYA
5333;Complaints Serious in Nature;DCOYA
5334;Misuse and diversion of funds  Mismanagment etc., by companies ;DCOYA
5335;Issuance of LOCs;DCOYA
5336;Disqualification of Directors;DCOYA
5337;Enforecement of Deposit Provisions;DCOYA
5338;Others;DCOYA
5339;Amalgamation/ Scheme of Arrangement of Govt. Companies;DCOYA
5340;Legal Matters;DCOYA
5341;Policy Matters;DCOYA
5342;Condonation of delay u/s 460;DCOYA
5343;LLP Act 2008;DCOYA
5344;Registration of Nidhi Companies;DCOYA
5345;appointment of Company Director/Whole Time Director/Manager of the Company;DCOYA
5346;Complaints against Ols and its staff (Insolvency Section);DCOYA
5347; companies  Liquidated (Insolvency Section);DCOYA
5348;Companies under Liquidation;DCOYA
5349;Grievances against Resolution Professionals (IBC);DCOYA
5350; matters related to CIRP and liquidation under IBC;DCOYA
5351;Matter related to insolvency and bankruptcy 2016 (Code)- IBBI;DCOYA
5352;Others;DCOYA
5353;Matters relating to 3 professional institutes viz. ICAI, ICoAI, ICSI;DCOYA
5354;Examination matters;DCOYA
5355;Others;DCOYA
5357;Issuing clarification to references from stakeholders regarding CSR;DCOYA
5358;Regulation of CSR compliance by companies;DCOYA
5359;Others;DCOYA
5360;Enforcement/Regulatlion  of  compliance of Competition Act, 2002,;DCOYA
5361;Issue of clarifications on Competition Act ;DCOYA
5362;Refund  of unclaimed dividend;DCOYA
5363;Refund of Matured deposit;DCOYA
5364;Refund of Matured Debentures;DCOYA
5365;Application Money due for refund & interest;DCOYA
5366;Other matters related to IEPF Authority;DCOYA
5367;Policy matters Recruitment and Service  matters  of  IEPF authority;DCOYA
5368;Delay in investigation;DCOYA
5369;Allegation against functioning of SFIO officials;DCOYA
5370;IICA Manesar;DCOYA
5371;IICA Section;DCOYA
5372;Functioning of members/judges;DCOYA
5373;Delay in judgement of cases;DCOYA
5374;Admin related;DCOYA
5375;Vigilance;DCOYA
5376;General Branch;DCOYA
5377;administration and implementation  of MCA-21 system;DCOYA
5378;Resolution of Technical issues ;DCOYA
5379;others;DCOYA
5380;All the matters related to DIN cell;DCOYA
5381;Others;DCOYA
5382;Administrative/Policy matter of CCI;DCOYA
5383;Issues related to  independent director of Companies ;DCOYA
5385;Others;DCOYA
5386;Administration Related;DCOYA
5387;Policy Matter Related;DCOYA
5388;Appointment related;DCOYA
5389;Recruitment Related;DCOYA
5390;Service Matter Related;DCOYA
5391;Corruption allegations against MCA employees;DCOYA
5392;others;DCOYA
5393;Housekeeping/Purchase;DCOYA
5394;CSS/CSSS/CSCS   & Central Staffing scheme ;DCOYA
5395;ICLS ;DCOYA
5396;SFIO ;DCOYA
5397;NCLT;DCOYA
5398;Others;DCOYA
5399;CSS/CSSS/CSCS   & Central Staffing scheme ;DCOYA
5400;ICLS ;DCOYA
5401;SFIO ;DCOYA
5402;NCLT;DCOYA
5403;Others;DCOYA
5404;CSS/CSSS/CSCS   & Central Staffing scheme ;DCOYA
5405;ICLS ;DCOYA
5406;SFIO ;DCOYA
5407;NCLT;DCOYA
5408;Others;DCOYA
5409;Department of Consumer Affairs;DOCAF
5410;M/o Women and Child Development;DOWCD
5411;Saksham Anganwadi and Poshan 2 (ICDS, Anganwadi, Poshan, SAG);DOWCD
5412;Mission Shakti (Women related);DOWCD
5413;Mission Vatsalya;DOWCD
5414;National Commission for Protection of Child Rights;DOWCD
5415;Central Adoption Resource Authority (CARA);DOWCD
5416;Administrative and other matters related to Central Social Welfare Board (CSWB);DOWCD
5417;Establishment and other matters related to Food and Nutrition Board (FNB);DOWCD
5418;Establishment and other matters related to Rashtriya Mahila Kosh (RMK);DOWCD
5419;National Institute of Public Cooperation and Child Development (NIPCCD);DOWCD
5420;Media related issues ;DOWCD
5421;National Commission for Women (NCW);DOWCD
5422;NCW Administration;DOWCD
5423;Administration;DOWCD
5424;ICDS;DOWCD
5425;ICDS training relating issues;DOWCD
5426;POSHAN 2.0;DOWCD
5427;Bereau of Indian Standard Division Related;DOCAF
5428;Issues related to Adolescent Girls age group of 14-18 (SAG);DOWCD
5429;Bereau of Indian Standard Organisation Related;DOCAF
5430;Sambhal;DOWCD
5431;Samarthya;DOWCD
5432;Integrated Child Protection Scheme (ICPS);DOWCD
5433;Consumer welfare Fund Related;DOCAF
5434;Child Welfare ;DOWCD
5435;Consumer Protection Unit Related;DOCAF
5436;Issue related to Laws, Policies, Programmes & Administrative Mechanisms are in consonance with the Child Rights ;DOWCD
5437;Protection of Child Rights in the age group of 0-18;DOWCD
5438;ECRE Division Related;DOCAF
5439;Adoption related issues;DOWCD
5440;Emblems and Names Related;DOCAF
